ticket,price
AACBU,$10.04
AACG,$1.0593
AADI,$2.12
AAL,$13.03
AAME,$1.41
AAOI,$15.82
AAON,$82.07
AAPG,$19.93
AAPL,$239.07
AARD,$10.13
ABAT,$1.01
ABCL,$2.33
ABEO,$5.16
ABL,$7.43
ABLLL,$26.32
ABLLW,$1.47
ABLV,$1.74
ABLVW,$0.031
ABNB,$134.39
ABOS,$1.25
ABP,$0.51
ABSI,$3.12
ABTS,$0.2515
ABUS,$3.31
ABVC,$0.6386
ABVE,$0.34
ABVEW,$0.0281
ABVX,$7.91
ACAD,$17.56
ACB,$4.76
ACCD,$6.97
ACDC,$7.05
ACET,$0.7961
ACGL,$91.00
ACGLN,$18.28
ACGLO,$21.5167
ACHC,$30.57
ACHL,$1.39
ACHV,$3.14
ACIC,$12.01
ACIU,$2.41
ACIW,$53.21
ACLS,$60.63
ACLX,$70.74
ACMR,$27.08
ACNB,$41.31
ACNT,$11.61
ACOG,$5.31
ACON,$1.38
ACONW,$0.0672
ACRS,$1.83
ACRV,$5.54
ACT,$34.09
ACTG,$4.19
ACTU,$6.95
ACVA,$14.11
ACXP,$0.4573
ADAG,$2.03
ADAP,$0.48
ADBE,$449.40
ADD,$1.04
ADEA,$14.94
ADGM,$1.06
ADI,$225.86
ADIL,$0.7499
ADMA,$17.02
ADN,$4.48
ADNWW,$0.0129
ADP,$306.45
ADPT,$7.35
ADSE,$15.00
ADSEW,$3.39
ADSK,$259.75
ADTN,$9.16
ADTX,$0.0515
ADUR,$5.2782
ADUS,$97.03
ADV,$2.15
ADVB,$3.65
ADVM,$4.58
ADVWW,$0.0121
ADXN,$7.70
AEHL,$0.1195
AEHR,$8.85
AEI,$0.93
AEIS,$109.67
AEMD,$0.4366
AENT,$4.07
AENTW,$0.2687
AEP,$104.62
AERT,$0.62
AERTW,$0.0212
AEVA,$3.13
AEVAW,$0.0559
AEYE,$12.61
AFBI,$19.80
AFCG,$8.41
AFJK,$10.95
AFJKR,$0.2539
AFJKU,$11.30
AFMD,$0.992
AFRI,$8.82
AFRIW,$0.75
AFRM,$51.97
AFYA,$17.13
AGAE,$1.02
AGEN,$2.35
AGFY,$17.185
AGH,$0.6951
AGIO,$32.38
AGMH,$0.157
AGNC,$10.38
AGNCL,$25.12
AGNCM,$25.26
AGNCN,$26.0303
AGNCO,$25.55
AGNCP,$25.26
AGRI,$1.58
AGYS,$78.01
AHCO,$10.48
AHG,$1.35
AIEV,$0.21
AIFF,$3.41
AIFU,$0.3799
AIHS,$0.8852
AIMAU,$11.86
AIMAW,$0.04
AIMBU,$11.99
AIMD,$0.489
AIMDW,$0.114
AIOT,$5.93
AIP,$7.89
AIRE,$1.42
AIRG,$4.80
AIRJ,$7.59
AIRJW,$1.03
AIRS,$3.395
AIRT,$17.95
AIRTP,$17.2956
AISP,$3.495
AISPW,$0.9201
AITR,$10.93
AITRR,$0.15
AIXI,$4.26
AKAM,$87.52
AKAN,$1.60
AKBA,$1.90
AKRO,$42.12
AKTX,$0.925
AKYA,$1.59
ALAB,$66.92
ALAR,$7.33
ALBT,$7.23
ALCO,$28.53
ALCY,$11.07
ALCYW,$0.15
ALDF,$10.04
ALDFU,$10.21
ALDFW,$0.25
ALDX,$6.35
ALEC,$1.44
ALF,$10.21
ALFUW,$0.155
ALGM,$27.71
ALGN,$173.75
ALGS,$12.94
ALGT,$60.76
ALHC,$14.89
ALKS,$34.35
ALKT,$27.30
ALLK,$0.26
ALLO,$2.18
ALLR,$1.06
ALLT,$5.39
ALMS,$4.88
ALNT,$23.36
ALNY,$244.52
ALOT,$10.30
ALRM,$58.92
ALRS,$19.36
ALT,$5.57
ALTI,$3.47
ALTO,$1.50
ALTR,$111.24
ALTS,$5.13
ALVO,$11.15
ALVOW,$1.99
ALVR,$9.87
ALXO,$1.06
ALZN,$0.76
AMAL,$29.49
AMAT,$155.68
AMBA,$53.07
AMCX,$7.06
AMD,$100.31
AMED,$92.37
AMGN,$324.86
AMIX,$2.65
AMKR,$20.74
AMLX,$3.87
AMOD,$1.62
AMODW,$0.0601
AMPG,$1.61
AMPGW,$0.4715
AMPH,$28.81
AMPL,$12.59
AMRK,$27.67
AMRN,$0.53
AMRX,$8.90
AMSC,$19.25
AMSF,$49.91
AMST,$2.42
AMTX,$1.74
AMWD,$60.91
AMZN,$199.25
