ticket,price,market_cap,sector,industry,volume,pct_change
AACB,$10.49,0.00,,,560,0.00%
AACBR,$0.21,0.00,,,1136,-0.99%
AACG,$0.93,40017897.00,Real Estate,Other Consumer Services,2323,-4.124%
AACI,$9.94,0.00,Finance,Blank Checks,30189,-0.101%
AACIU,$10.08,0.00,Finance,Blank Checks,27,0.00%
AACIW,$0.33,0.00,Finance,Blank Checks,16786,0.00%
AACO,$9.90,0.00,,,33,0.00%
AACOU,$10.01,0.00,,,1038,0.00%
AACOW,$0.4205,0.00,,,13685,-4.039%
AACP,$9.99,0.00,Finance,Blank Checks,48337,0.301%
AACPU,$10.27,0.00,Finance,Blank Checks,230,0.195%
AACPW,$0.127,0.00,Finance,Blank Checks,1140,0.00%
AAL,$17.87,11818952398.00,Consumer Discretionary,Air Freight/Delivery Services,163028562,1.707%
AAME,$1.70,34675288.00,Finance,Life Insurance,9293,1.19%
AAOI,$135.69,10888141054.00,Technology,Semiconductors,20191209,-2.057%
AAON,$126.78,10384766594.00,Industrials,Industrial Machinery/Components,1498800,-4.863%
AAPG,$16.77,1565153290.00,Health Care,Biotechnology: Pharmaceutical Preparations,195421,-1.642%
AAPL,$283.78,4167977885680.00,Technology,Computer Manufacturing,261775692,3.136%
AARD,$4.79,104500484.00,Health Care,Biotechnology: Pharmaceutical Preparations,1664856,-5.336%
ABAT,$2.72,371047192.00,Basic Materials,Metal Mining,6909430,0.741%
ABCL,$7.38,2174631626.00,Health Care,Biotechnology: Pharmaceutical Preparations,15607942,10.811%
ABEO,$5.61,319742758.00,Health Care,Biotechnology: Pharmaceutical Preparations,2925011,0.899%
ABLV,$1.10,54328914.00,Consumer Discretionary,Other Consumer Services,118662,-0.901%
ABLVW,$0.0175,864324.00,Consumer Discretionary,Other Consumer Services,967,-1.13%
ABNB,$145.56,87729728592.00,Consumer Discretionary,Diversified Commercial Services,6088986,2.594%
ABOS,$2.36,170457089.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),5571124,6.787%
ABSI,$10.89,1697806060.00,Health Care,Biotechnology: Commercial Physical & Biological Resarch,13453617,6.66%
ABTC,$0.718,763243481.00,Technology,EDP Services,5758899,1.729%
ABTS,$1.18,3494507.00,Technology,Computer Software: Programming Data Processing,27030,1.724%
ABUS,$4.58,904722712.00,Health Care,Biotechnology: Pharmaceutical Preparations,6802457,3.855%
ABVC,$1.53,39780676.00,Health Care,Biotechnology: Pharmaceutical Preparations,216690,5.517%
ABVX,$97.50,7730890830.00,Health Care,Biotechnology: Pharmaceutical Preparations,1666971,5.554%
ACAA,$9.975,0.00,Finance,Blank Checks,1002,0.05%
ACAAU,$10.02,0.00,Finance,Blank Checks,1,0.00%
ACAD,$25.32,4335692228.00,Health Care,Biotechnology: Pharmaceutical Preparations,7371056,6.745%
ACB,$2.83,175296273.00,Health Care," Medicinal Chemicals and Botanical Products ",1281891,2.536%
ACCL,$1.68,23352000.00,Consumer Discretionary,Professional Services,11591,-0.592%
ACDC,$5.83,1054767990.00,Energy,Oilfield Services/Equipment,1616792,1.923%
ACET,$8.37,78244735.00,Health Care,Biotechnology: Pharmaceutical Preparations,95764,5.949%
ACFN,$17.24,43242368.00,Consumer Discretionary,Military/Government/Technical,21225,6.223%
ACGC,$9.94,0.00,Finance,Blank Checks,56853,-0.05%
ACGCU,$10.07,0.00,Finance,Blank Checks,63,0.00%
ACGL,$97.54,34079460414.00,Finance,Property-Casualty Insurers,2878528,3.403%
ACGLN,$15.94,5569270033.00,Finance,Property-Casualty Insurers,58469,0.189%
ACGLO,$18.92,6610451005.00,Finance,Property-Casualty Insurers,35397,0.265%
ACHC,$27.42,2521735880.00,Health Care,Medical Specialities,15689132,4.497%
ACHV,$6.02,618007523.00,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,12441246,5.614%
ACIC,$11.15,540374124.00,Finance,Property-Casualty Insurers,1317566,3.625%
ACIU,$2.56,260540347.00,Health Care,Biotechnology: Pharmaceutical Preparations,259242,4.49%
ACIW,$49.26,5007848938.00,Technology,Computer Software: Prepackaged Software,2807654,5.572%
ACLS,$173.23,5324032977.00,Technology,Industrial Machinery/Components,1775014,-4.134%
ACMR,$104.50,6920499124.00,Technology,Industrial Machinery/Components,3421520,-2.208%
ACNB,$60.42,617011698.00,Finance,Major Banks,371108,3.477%
ACNT,$13.90,125631189.00,Industrials,Steel/Iron Ore,984639,-3.74%
ACOG,$6.50,141531676.00,,,189333,0.00%
ACON,$2.85,7017413.00,Health Care,Medical Specialities,40797,5.166%
ACONW,$0.027,66481.00,Health Care,Medical Specialities,6766,-0.369%
ACRS,$5.00,698318400.00,Health Care,Biotechnology: Pharmaceutical Preparations,8838919,1.833%
ACRV,$1.68,71906905.00,Health Care,Biotechnology: Pharmaceutical Preparations,274350,6.329%
ACT,$45.24,6315537704.00,Finance,Specialty Insurers,706452,1.344%
ACTG,$4.69,453003029.00,Miscellaneous,Multi-Sector Companies,786747,-0.213%
ACTU,$1.68,40195431.00,Health Care,Biotechnology: Pharmaceutical Preparations,846219,-14.286%
ACXP,$1.52,6532562.00,Health Care,Biotechnology: Pharmaceutical Preparations,44813,7.042%
ADAC,$10.01,0.00,,,10479,0.00%
ADAG,$4.19,276756179.00,Health Care,Biotechnology: Pharmaceutical Preparations,461692,1.699%
ADAM,$9.51,854579137.00,Real Estate,Real Estate Investment Trusts,2316710,1.929%
ADAMG,$25.2901,0.00,Real Estate,Real Estate Investment Trusts,4236,-0.039%
ADAMH,$25.625,0.00,Real Estate,Real Estate Investment Trusts,3325,0.117%
ADAMI,$25.20,2282602115.00,Real Estate,Real Estate Investment Trusts,1994,0.04%
ADAML,$24.43,2195306868.00,Real Estate,Real Estate Investment Trusts,9855,0.329%
ADAMM,$25.32,2275283255.00,Real Estate,Real Estate Investment Trusts,9907,0.178%
ADAMN,$23.72,2131505482.00,Real Estate,Real Estate Investment Trusts,3790,-0.126%
ADAMO,$25.15,0.00,Real Estate,Real Estate Investment Trusts,11168,0.00%
ADAMZ,$19.14,1719941607.00,Real Estate,Real Estate Investment Trusts,4404,0.42%
ADBE,$202.73,80585175000.00,Technology,Computer Software: Prepackaged Software,9172121,4.819%
ADEA,$30.82,3399253344.00,Technology,Computer Software: Prepackaged Software,4184390,1.448%
ADGM,$0.6458,14343514.00,Health Care,Medical/Dental Instruments,53167,3.776%
ADI,$386.91,188458846646.00,Technology,Semiconductors,12478835,-7.422%
ADIL,$2.56,5487670.00,Health Care,Biotechnology: Pharmaceutical Preparations,28991,-0.775%
ADMA,$8.75,2032837476.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),5934507,0.344%
ADP,$223.55,90011147572.00,Industrials,Diversified Commercial Services,8664089,3.347%
ADPT,$20.96,3354530456.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),6474570,3.506%
ADSE,$11.50,828023587.00,Consumer Discretionary,Industrial Specialties,20341,0.437%
ADSEW,$0.47,33840964.00,Consumer Discretionary,Industrial Specialties,37364,4.444%
ADSK,$196.26,41410860000.00,Technology,Computer Software: Prepackaged Software,7756109,3.442%
ADTN,$13.52,1095094312.00,Utilities,Telecommunications Equipment,4501490,-3.704%
ADUR,$15.21,530849503.00,Industrials,Major Chemicals,605807,5.552%
ADUS,$96.95,1809550033.00,Health Care,Medical/Nursing Services,813786,0.093%
ADV,$44.04,585524131.00,Consumer Discretionary,Business Services,373167,4.608%
ADVB,$4.49,7418077.00,Health Care,Medical Specialities,3901,-10.02%
ADXN,$6.07,9826523.00,Health Care,Biotechnology: Pharmaceutical Preparations,11119,2.189%
AEAQ,$10.00,0.00,,,143,0.00%
AEAQW,$0.28,0.00,,,331640,-22.222%
AEBI,$13.08,1014999943.00,Industrials,Auto Manufacturing,1030791,-0.909%
AEC,$4.08,74398702.00,Basic Materials,Metal Mining,23893,1.746%
AEHL,$1.07,19423116.00,Industrials,Building Materials,77349,4.902%
AEHR,$91.81,2947473565.00,Industrials,Electrical Products,2359270,-7.065%
AEI,$1.38,53676245.00,Finance,Real Estate,35994,10.40%
AEIS,$348.11,13238852008.00,Technology,Industrial Machinery/Components,5665853,-7.208%
AEMD,$0.8732,2069973.00,Health Care,Medical/Dental Instruments,276086,-2.009%
AENT,$5.71,291093687.00,Consumer Discretionary,Durable Goods,24149,-0.868%
AENTW,$0.4305,21946731.00,Consumer Discretionary,Durable Goods,8456,-8.404%
AEP,$138.69,75461926888.00,Utilities,Electric Utilities: Central,8131852,1.234%
AERT,$7.25,41610280.00,Consumer Discretionary,Professional Services,14037,0.277%
AERTW,$0.02,114787.00,Consumer Discretionary,Professional Services,99950,0.00%
AESPU,$10.07,0.00,,,13290,0.00%
AEVA,$20.89,1316922751.00,Consumer Discretionary,Auto Parts:O.E.M.,3219263,3.672%
AEYE,$5.59,69838190.00,Technology,Computer Software: Prepackaged Software,1347097,-6.522%
AFBI,$22.60,137744401.00,Finance,Banks,7126,0.222%
AFCG,$3.13,73645282.00,Finance,Real Estate,87162,-1.262%
AFJK,$26.81,0.00,,,1713,-4.929%
AFJKR,$0.34,0.00,,,100,33.333%
AFJKU,$35.90,0.00,,,49,0.00%
AFRI,$10.20,275030913.00,Consumer Staples,Packaged Foods,392749,1.493%
AFRM,$79.49,26621086932.00,Finance,Finance: Consumer Services,8865542,3.435%
AFYA,$14.87,1359900504.00,Real Estate,Other Consumer Services,202686,0.95%
AGCC,$14.90,555568850.00,Consumer Staples,Beverages (Production/Distribution),36081,-1.325%
AGEN,$3.03,126176566.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),5006559,5.208%
AGIO,$37.90,2253973981.00,Health Care,Biotechnology: Pharmaceutical Preparations,3836474,4.696%
AGMB,$13.81,680114535.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),96415,2.829%
AGMH,$1.06,3708867.00,Technology,EDP Services,364008,1.923%
AGNC,$10.90,12512429065.00,Real Estate,Real Estate Investment Trusts,33688256,2.637%
AGNCL,$25.00,28698231800.00,Real Estate,Real Estate Investment Trusts,13631,0.281%
AGNCM,$25.05,28755628264.00,Real Estate,Real Estate Investment Trusts,16830,0.28%
AGNCN,$25.61,29398468656.00,Real Estate,Real Estate Investment Trusts,16234,-0.195%
AGNCO,$25.42,29180362094.00,Real Estate,Real Estate Investment Trusts,49357,-0.118%
AGNCP,$25.09,28801545434.00,Real Estate,Real Estate Investment Trusts,61431,0.20%
AGNCZ,$25.45,29214799972.00,,,28244,0.079%
AGNT,$5.53,908711300.00,Finance,Real Estate,3253669,7.379%
AGPU,$7.16,77464713.00,Health Care,Industrial Specialties,158967,10.665%
AGRZ,$0.3582,7315692.00,Consumer Staples,Farming/Seeds/Milling,17929,2.901%
AGYS,$102.58,2889332803.00,Technology,EDP Services,1359022,5.199%
AHCO,$10.29,1399997224.00,Health Care,Medical/Nursing Services,4334845,2.695%
AHG,$1.52,838828989.00,Consumer Discretionary,Business Services,57855,13.433%
AHMA,$1.71,50829750.00,Consumer Discretionary,Services-Misc. Amusement & Recreation,105582,-3.39%
AIAI,$14.43,1014630876.00,Technology,EDP Services,169946,-9.813%
AIBZ,$8.96,483422150.00,,,496868,2.635%
AIDX,$0.5996,7345818.00,Health Care,Precision Instruments,160819,1.575%
AIFA,$2.32,14795849.00,Consumer Discretionary,Services-Misc. Amusement & Recreation,32002,-3.333%
AIFC,$0.55,76910081.00,Finance,Finance: Consumer Services,1229067,-1.416%
AIFF,$1.32,20599684.00,Technology,Computer Software: Prepackaged Software,235998,5.60%
AIFU,$46.46,286923301.00,Finance,Specialty Insurers,22443,-3.81%
AIHS,$1.42,6471634.00,Finance,Finance: Consumer Services,12267,-2.74%
AIIO,$4.37,609257853.00,Industrials,Auto Manufacturing,5988962,12.051%
AIIOW,$0.0532,7417052.00,Industrials,Auto Manufacturing,84345,-4.488%
AIIR,$6.61,1060155439.00,Consumer Discretionary,Tobacco,8112,1.692%
AIMD,$1.73,14747458.00,Technology,Computer peripheral equipment,22121,-3.889%
AIMDW,$0.1193,1016978.00,Technology,Computer peripheral equipment,2820,-4.407%
AIOS,$13.46,43734972.00,Industrials,Metal Fabrications,82985,14.846%
AIOT,$3.74,501836484.00,Telecommunications,Telecommunications Equipment,3695737,0.809%
AIP,$43.29,1998785101.00,Technology,Semiconductors,2567865,-0.688%
AIRE,$2.03,10890447.00,Finance,Real Estate,91426,11.538%
AIRG,$6.23,78970109.00,Technology,Radio And Television Broadcasting And Communications Equipment,60411,1.136%
AIRJ,$4.56,330146681.00,Industrials,Industrial Machinery/Components,1863810,-3.492%
AIRJW,$1.04,75296612.00,Industrials,Industrial Machinery/Components,22144,-12.605%
AIRO,$6.93,217918313.00,Industrials,Aerospace,1101748,3.125%
AIRS,$4.57,322393762.00,Health Care,Medical/Nursing Services,1094887,3.394%
AIRT,$24.08,65079547.00,Consumer Discretionary,Air Freight/Delivery Services,1137,8.91%
AIRTP,$19.495,52687947.00,Consumer Discretionary,Air Freight/Delivery Services,2810,2.068%
AISP,$2.30,79147747.00,Technology,Computer Software: Prepackaged Software,4061828,-10.853%
AISPW,$0.77,26497289.00,Technology,Computer Software: Prepackaged Software,22535,-5.301%
AIXC,$1.08,21853792.00,Health Care,Biotechnology: Pharmaceutical Preparations,70715,2.857%
AIXI,$1.985,1811158.00,Technology,Computer Software: Prepackaged Software,206821,-7.243%
AKAM,$113.29,16470717744.00,Consumer Discretionary,Business Services,4427408,0.354%
AKAN,$14.08,7615041.00,Health Care," Medicinal Chemicals and Botanical Products ",22633,-5.376%
AKBA,$1.14,305814397.00,Health Care,Biotechnology: Pharmaceutical Preparations,11583434,9.615%
AKTS,$29.44,1627368040.00,Health Care,Biotechnology: Pharmaceutical Preparations,1230759,-5.49%
AKTX,$10.73,16892690.00,Health Care,Biotechnology: Pharmaceutical Preparations,92848,12.71%
ALAB,$391.74,67147346024.00,Technology,Semiconductors,6564851,-1.573%
ALAR,$7.90,57278721.00,Technology,Computer Software: Prepackaged Software,22667,-1.003%
ALBT,$0.282,3397438.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),737988,-6.00%
ALCO,$41.81,310076632.00,,,165476,3.516%
ALDF,$10.66,0.00,,,2,0.00%
ALDFW,$0.2996,0.00,Finance,Blank Checks,299,-0.167%
ALDX,$1.83,110387554.00,Health Care,Biotechnology: Pharmaceutical Preparations,6078849,1.667%
ALEC,$1.86,206506848.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3845509,0.541%
ALF,$10.88,0.00,,,16,0.00%
ALGM,$57.89,10785431715.00,Technology,Semiconductors,12165473,-3.773%
ALGN,$178.43,12778822401.00,Health Care,Industrial Specialties,1668669,1.548%
ALGS,$5.57,34468402.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),54417,1.273%
ALGT,$116.10,2140569369.00,Consumer Discretionary,Air Freight/Delivery Services,2017028,5.498%
ALHC,$23.19,4794157355.00,Health Care,Medical Specialities,6558972,2.114%
ALIS,$10.15,0.00,,,2869,0.296%
ALISR,$0.80,0.00,Finance,Blank Checks,10104,0.00%
ALKS,$55.08,9180503450.00,Health Care,Biotechnology: Pharmaceutical Preparations,7563694,4.259%
ALKT,$16.42,1757254837.00,Technology,Computer Software: Prepackaged Software,4906910,3.662%
ALLO,$2.13,735179215.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),25919276,3.398%
ALLR,$1.30,20098941.00,Health Care,Biotechnology: Pharmaceutical Preparations,121363,2.362%
ALLT,$7.81,382089403.00,Telecommunications,Computer Communications Equipment,387049,5.541%
ALM,$16.28,4619317302.00,Basic Materials,Other Metals and Minerals,18932626,-1.033%
ALMR,$26.67,1848529331.00,Industrials,Biotechnology: Laboratory Analytical Instruments,2143543,-0.744%
ALMS,$26.40,3365788272.00,Health Care,Biotechnology: Pharmaceutical Preparations,6164596,5.473%
